epoch,train_loss,val_loss,val_macro_f1,val_weighted_f1,val_accuracy,val_roc_auc
1,0.6846,0.6532,0.7735,0.7943,0.7922,0.8807
2,0.5263,0.4056,0.8038,0.8202,0.8173,0.906
3,0.2935,0.3368,0.8573,0.8695,0.8675,0.931
4,0.1809,0.3275,0.8573,0.8695,0.8675,0.9348
5,0.1193,0.3527,0.845,0.8607,0.8605,0.9333
6,0.0741,0.3794,0.8399,0.8563,0.8563,0.9318
7,0.0445,0.3972,0.8325,0.8488,0.848,0.9281
8,0.0304,0.4178,0.837,0.8529,0.8522,0.9278
9,0.0213,0.4371,0.8426,0.8574,0.8563,0.9266
10,0.0153,0.4855,0.8267,0.8448,0.8452,0.9248
11,0.0129,0.4884,0.8274,0.8444,0.8438,0.9224
12,0.0098,0.5304,0.8166,0.8361,0.8368,0.9206
13,0.0083,0.5444,0.8254,0.8435,0.8438,0.9191
