epoch,train_loss,val_loss,val_macro_f1,val_weighted_f1,val_accuracy,val_roc_auc
1,0.6889,0.6609,0.7554,0.789,0.8006,0.8918
2,0.5277,0.3721,0.8313,0.8467,0.8452,0.9162
3,0.2812,0.3165,0.8593,0.8719,0.8703,0.9363
4,0.1848,0.3755,0.8517,0.8672,0.8675,0.9372
5,0.1258,0.4059,0.861,0.8748,0.8745,0.9351
6,0.096,0.4078,0.8531,0.8663,0.8647,0.9356
7,0.067,0.4738,0.8423,0.8573,0.8563,0.9329
8,0.044,0.5437,0.84,0.8556,0.855,0.9312
9,0.0337,0.5755,0.8406,0.8559,0.855,0.9299
10,0.0245,0.6317,0.8339,0.8501,0.8494,0.9278
11,0.0198,0.6635,0.8381,0.8534,0.8522,0.9288
12,0.012,0.7156,0.8219,0.8391,0.8382,0.9267
13,0.0129,0.7811,0.826,0.8438,0.8438,0.9278
14,0.0077,0.8012,0.824,0.8415,0.841,0.9275
15,0.0053,0.8391,0.825,0.8426,0.8424,0.926
