epoch,train_loss,val_loss,val_macro_f1,val_weighted_f1,val_accuracy,val_roc_auc
1,0.6872,0.6563,0.7794,0.8075,0.8145,0.8864
2,0.504,0.3719,0.8405,0.8566,0.8563,0.922
3,0.2724,0.3304,0.854,0.8682,0.8675,0.936
4,0.1759,0.3807,0.8531,0.8685,0.8689,0.9374
5,0.1247,0.3642,0.8563,0.8683,0.8661,0.9368
6,0.0894,0.4355,0.8443,0.8589,0.8577,0.9314
7,0.0611,0.535,0.842,0.8586,0.8591,0.9318
8,0.0443,0.6127,0.8326,0.8502,0.8508,0.927
9,0.0307,0.6438,0.8436,0.8593,0.8591,0.9281
10,0.0246,0.7304,0.8393,0.8573,0.8591,0.9288
11,0.0175,0.7385,0.8358,0.853,0.8536,0.9263
12,0.0131,0.7472,0.8346,0.8511,0.8508,0.9259
13,0.0089,0.83,0.8346,0.8511,0.8508,0.9244
14,0.0071,0.9,0.834,0.8515,0.8522,0.9241
15,0.0069,0.9026,0.8344,0.8517,0.8522,0.9241
