epoch,train_loss,val_loss,val_macro_f1,val_weighted_f1,val_accuracy,val_roc_auc
1,0.6814,0.6558,0.6232,0.6776,0.7001,0.6907
2,0.6191,0.5901,0.7006,0.7324,0.7336,0.7584
3,0.5407,0.5696,0.7104,0.7453,0.7517,0.8031
4,0.4903,0.5307,0.7513,0.7788,0.781,0.823
5,0.4443,0.5227,0.7412,0.759,0.7531,0.8243
6,0.4076,0.5195,0.7794,0.8012,0.8006,0.8439
7,0.3657,0.5114,0.7851,0.8043,0.802,0.8531
8,0.3263,0.5279,0.7897,0.8121,0.8131,0.8582
9,0.2867,0.5861,0.7878,0.8125,0.8159,0.8569
10,0.2535,0.5892,0.7942,0.8155,0.8159,0.8576
11,0.2201,0.6287,0.7796,0.7998,0.7978,0.8544
12,0.1814,0.6522,0.7943,0.8142,0.8131,0.8646
13,0.1482,0.6864,0.7752,0.7933,0.7894,0.8617
14,0.1303,0.9815,0.7601,0.7905,0.7978,0.8487
15,0.1243,0.7197,0.7768,0.7955,0.7922,0.8656
16,0.0843,1.0865,0.7832,0.8083,0.8117,0.865
17,0.0741,0.8601,0.7681,0.7882,0.7852,0.8625
18,0.0604,1.0312,0.7789,0.8003,0.7992,0.8602
19,0.0534,1.3063,0.7817,0.805,0.8061,0.8532
20,0.0468,1.0529,0.7716,0.7903,0.7866,0.8544
21,0.0423,1.6603,0.7792,0.8068,0.8131,0.8595
22,0.0491,1.1652,0.7801,0.8008,0.7992,0.8509
